size,model,embedding,tissue,seed,shuffled,rmse,r2,pcc
small,svm,dnabert2,Nerve_Tibial,1030,yes,0.698,-0.058,0.195
middle,xgboost,dnabert2,Nerve_Tibial,1030,yes,0.644,0.294,0.556
middle,lightgbm,dnabert2,Nerve_Tibial,1030,yes,0.681,0.23,0.482
middle,random forest,dnabert2,Nerve_Tibial,1030,yes,0.654,0.271,0.54
middle,knn,dnabert2,Nerve_Tibial,1030,yes,0.764,0.006,0.259
middle,svm,dnabert2,Nerve_Tibial,1030,yes,0.658,0.262,0.524
large,xgboost,dnabert2,Nerve_Tibial,1030,yes,0.697,0.216,0.496
large,lightgbm,dnabert2,Nerve_Tibial,1030,yes,0.708,0.151,0.455
large,random forest,dnabert2,Nerve_Tibial,1030,yes,0.678,0.223,0.479
large,knn,dnabert2,Nerve_Tibial,1030,yes,0.77,-0.002,0.055
large,svm,dnabert2,Nerve_Tibial,1030,yes,0.672,0.235,0.501
